CODE,YEAR,GVA,ENERGY,ITL1
E06000001,2023,1466,92.7221886,TLC
E06000002,2023,3501,76.31015577,TLC
E06000003,2023,2044,143.9354624,TLC
E06000004,2023,5659,214.6303309,TLC
E06000005,2023,2816,85.86460942,TLC
E06000047,2023,11162,360.3642411,TLC
E06000057,2023,6066,346.2075596,TLC
E08000021,2023,11305,192.6707509,TLC
E08000022,2023,5544,126.2143751,TLC
E08000023,2023,2031,58.09939753,TLC
E08000024,2023,7307,211.0019545,TLC
E08000037,2023,4657,152.1011627,TLC
E06000006,2023,4774,140.0860629,TLD
E06000007,2023,9626,240.6563505,TLD
E06000008,2023,3826,97.61580208,TLD
E06000009,2023,3035,71.68589503,TLD
E06000049,2023,15590,421.1448719,TLD
E06000050,2023,13128,1082.99779,TLD
E06000063,2023,6715,490.594891,TLD
E06000064,2023,7136,359.7157763,TLD
E07000117,2023,2177,61.31565255,TLD
E07000118,2023,2577,91.86384454,TLD
E07000119,2023,3071,55.49611148,TLD
E07000120,2023,1618,65.45152097,TLD
E07000121,2023,3429,117.0519758,TLD
E07000122,2023,1833,52.71791371,TLD
E07000123,2023,5170,114.6625099,TLD
E07000124,2023,2043,118.1068159,TLD
E07000125,2023,1184,57.04608872,TLD
E07000126,2023,4398,86.60217584,TLD
E07000127,2023,3351,126.4823146,TLD
E07000128,2023,1883,91.94318274,TLD
E08000001,2023,6830,164.0062766,TLD
E08000002,2023,3942,118.5866501,TLD
E08000003,2023,33045,382.3299216,TLD
E08000004,2023,4486,119.7379434,TLD
E08000005,2023,4323,156.0707151,TLD
E08000006,2023,9903,189.2210614,TLD
E08000007,2023,8623,151.9339118,TLD
E08000008,2023,3691,121.7114909,TLD
E08000009,2023,11339,269.221213,TLD
E08000010,2023,6155,186.0192947,TLD
E08000011,2023,4211,133.8027792,TLD
E08000012,2023,16965,280.1506655,TLD
E08000013,2023,2903,202.0685943,TLD
E08000014,2023,4934,166.4558497,TLD
E08000015,2023,6105,157.1613331,TLD
E06000010,2023,6815,185.8014175,TLE
E06000011,2023,8631,443.9300127,TLE
E06000012,2023,3868,173.0302446,TLE
E06000013,2023,5411,1584.214673,TLE
E06000014,2023,7797,117.5437247,TLE
E06000065,2023,18307,835.7197225,TLE
E08000016,2023,4645,215.2093137,TLE
E08000017,2023,6641,318.8161656,TLE
E08000018,2023,5147,238.2278996,TLE
E08000019,2023,15946,335.5932367,TLE
E08000032,2023,10804,312.943556,TLE
E08000033,2023,5354,143.9495728,TLE
E08000034,2023,8467,278.758016,TLE
E08000035,2023,33786,600.7887879,TLE
E08000036,2023,9357,358.2005183,TLE
E06000015,2023,8489,173.8683316,TLF
E06000016,2023,9442,229.8249707,TLF
E06000017,2023,994,131.3396226,TLF
E06000018,2023,11791,192.3066077,TLF
E06000061,2023,8120,330.1631314,TLF
E06000062,2023,14548,426.7705609,TLF
E07000032,2023,3180,109.8900095,TLF
E07000033,2023,2304,181.0375765,TLF
E07000034,2023,2838,68.80222242,TLF
E07000035,2023,1792,98.90240939,TLF
E07000036,2023,1912,78.68041361,TLF
E07000037,2023,1643,360.0203343,TLF
E07000038,2023,1698,83.1762439,TLF
E07000039,2023,2903,118.6359178,TLF
E07000129,2023,4525,99.17175142,TLF
E07000130,2023,4568,135.5005983,TLF
E07000131,2023,2472,103.5633419,TLF
E07000132,2023,2714,98.79623699,TLF
E07000133,2023,1540,51.22624907,TLF
E07000134,2023,4577,196.7672488,TLF
E07000135,2023,924,20.11421287,TLF
E07000136,2023,1528,53.55941243,TLF
E07000137,2023,2673,121.1232416,TLF
E07000138,2023,2942,63.20463595,TLF
E07000139,2023,3058,97.11383974,TLF
E07000140,2023,2395,90.15848207,TLF
E07000141,2023,3121,135.5128779,TLF
E07000142,2023,1941,86.20039928,TLF
E07000170,2023,2981,98.65122838,TLF
E07000171,2023,2639,162.6310817,TLF
E07000172,2023,2559,99.413739,TLF
E07000173,2023,1808,58.15741285,TLF
E07000174,2023,1979,51.40705395,TLF
E07000175,2023,2774,186.4427894,TLF
E07000176,2023,3378,113.5789241,TLF
E06000019,2023,4580,191.6999782,TLG
E06000020,2023,5321,150.1994561,TLG
E06000021,2023,6489,232.0951228,TLG
E06000051,2023,7398,283.8069807,TLG
E07000192,2023,2332,49.71210538,TLG
E07000193,2023,4052,135.6741052,TLG
E07000194,2023,2881,96.03011871,TLG
E07000195,2023,2553,132.3945191,TLG
E07000196,2023,2147,148.0220969,TLG
E07000197,2023,3515,150.8967842,TLG
E07000198,2023,1731,158.4657222,TLG
E07000199,2023,1849,33.10782683,TLG
E07000218,2023,3472,191.0680811,TLG
E07000219,2023,2431,62.94795139,TLG
E07000220,2023,3679,272.1383012,TLG
E07000221,2023,5869,137.9973168,TLG
E07000222,2023,7502,122.8635297,TLG
E07000234,2023,3447,93.25446777,TLG
E07000235,2023,1914,71.08052213,TLG
E07000236,2023,2257,49.13306919,TLG
E07000237,2023,3499,49.8536044,TLG
E07000238,2023,3387,174.6684734,TLG
E07000239,2023,1612,52.45961779,TLG
E08000025,2023,32684,669.0442174,TLG
E08000026,2023,10898,190.9484905,TLG
E08000027,2023,5649,153.4058011,TLG
E08000028,2023,6751,230.603156,TLG
E08000029,2023,9955,186.6125871,TLG
E08000030,2023,5091,166.0197437,TLG
E08000031,2023,5931,141.7763986,TLG
E06000031,2023,7341,157.3197362,TLH
E06000032,2023,6431,101.6042096,TLH
E06000033,2023,3142,57.77320266,TLH
E06000034,2023,5616,213.6361623,TLH
E06000055,2023,4713,174.1550059,TLH
E06000056,2023,6797,247.3840441,TLH
E07000008,2023,8189,114.0550885,TLH
E07000009,2023,2184,96.4919655,TLH
E07000010,2023,2095,113.8671645,TLH
E07000011,2023,5118,214.4487672,TLH
E07000012,2023,6521,207.3041235,TLH
E07000066,2023,6635,104.6159228,TLH
E07000067,2023,3912,98.04442362,TLH
E07000068,2023,3223,64.75065441,TLH
E07000069,2023,1178,27.49302714,TLH
E07000070,2023,6255,111.4616533,TLH
E07000071,2023,5366,102.1063335,TLH
E07000072,2023,4091,163.8347161,TLH
E07000073,2023,2473,65.01232323,TLH
E07000074,2023,1261,41.20406739,TLH
E07000075,2023,2049,29.14462384,TLH
E07000076,2023,2333,77.39914236,TLH
E07000077,2023,3092,129.067271,TLH
E07000095,2023,2356,41.46593437,TLH
E07000096,2023,5893,109.0066397,TLH
E07000098,2023,4809,97.93481688,TLH
E07000099,2023,4436,89.71240337,TLH
E07000102,2023,4844,90.65753631,TLH
E07000103,2023,4865,46.12869717,TLH
E07000143,2023,2947,123.2463758,TLH
E07000144,2023,4468,83.03840539,TLH
E07000145,2023,2118,44.25942934,TLH
E07000146,2023,3335,156.1631878,TLH
E07000147,2023,1734,76.1038569,TLH
E07000148,2023,4457,75.48021598,TLH
E07000149,2023,3435,112.2905548,TLH
E07000200,2023,2002,78.14641103,TLH
E07000202,2023,4867,52.92148806,TLH
E07000203,2023,2612,116.1677959,TLH
E07000240,2023,4777,129.3770613,TLH
E07000241,2023,6027,97.72802026,TLH
E07000242,2023,4962,86.96267762,TLH
E07000243,2023,2867,65.69079994,TLH
E07000244,2023,5951,181.5612518,TLH
E07000245,2023,5664,204.8365698,TLH
E09000001,2023,100284,212.0869247,TLI
E09000007,2023,36924,282.4587143,TLI
E09000012,2023,12397,107.3219143,TLI
E09000013,2023,12631,133.2390915,TLI
E09000014,2023,4405,98.66530762,TLI
E09000019,2023,24386,141.9098483,TLI
E09000020,2023,10526,179.7148104,TLI
E09000022,2023,14167,154.7908436,TLI
E09000023,2023,3801,80.76131642,TLI
E09000025,2023,7805,242.7290522,TLI
E09000028,2023,24193,198.7433257,TLI
E09000030,2023,41438,297.7329674,TLI
E09000032,2023,7912,128.898824,TLI
E09000033,2023,87656,527.2514987,TLI
E09000002,2023,3811,80.7783528,TLI
E09000003,2023,9799,147.5508351,TLI
E09000004,2023,6193,124.7929369,TLI
E09000005,2023,9308,148.5167479,TLI
E09000006,2023,7591,92.39683583,TLI
E09000008,2023,10834,124.6832279,TLI
E09000009,2023,8997,188.5576782,TLI
E09000010,2023,7832,158.4019653,TLI
E09000011,2023,5819,136.452709,TLI
E09000015,2023,5381,51.18286555,TLI
E09000016,2023,6671,123.4908077,TLI
E09000017,2023,12973,261.7430769,TLI
E09000018,2023,15520,152.9757704,TLI
E09000021,2023,4949,68.64878323,TLI
E09000024,2023,6009,82.31103144,TLI
E09000026,2023,5421,78.63993087,TLI
E09000027,2023,7103,68.58175769,TLI
E09000029,2023,4738,73.37102459,TLI
E09000031,2023,4722,87.1111728,TLI
E06000035,2023,6923,117.4762895,TLJ
E06000036,2023,5123,61.76303478,TLJ
E06000037,2023,8852,199.7525239,TLJ
E06000038,2023,10133,81.83447303,TLJ
E06000039,2023,10081,198.8373512,TLJ
E06000040,2023,7487,104.0506758,TLJ
E06000041,2023,9466,86.94886381,TLJ
E06000042,2023,15621,223.2915761,TLJ
E06000043,2023,10978,108.7560523,TLJ
E06000044,2023,7191,122.1164778,TLJ
E06000045,2023,8987,121.4992385,TLJ
E06000046,2023,2979,76.71183197,TLJ
E06000060,2023,17657,360.6948497,TLJ
E07000061,2023,2137,38.42816467,TLJ
E07000062,2023,1733,31.75984561,TLJ
E07000063,2023,2190,44.06144404,TLJ
E07000064,2023,1528,70.63456576,TLJ
E07000065,2023,2987,76.1198939,TLJ
E07000084,2023,7310,132.0595786,TLJ
E07000085,2023,2791,71.93621752,TLJ
E07000086,2023,4762,73.30725055,TLJ
E07000087,2023,3402,58.79117555,TLJ
E07000088,2023,1251,24.76227525,TLJ
